filename,file_path,subject,trial,step,sha256,n_rows,n_cols,nan_count,inf_count,missing_pct,global_min,global_max,VL_mean,VL_std,VL_min,VL_max,TA_mean,TA_std,TA_min,TA_max,ST_mean,ST_std,ST_min,ST_max,GM_mean,GM_std,GM_min,GM_max
S001_Trial01_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial01_Step01.csv,S001,1,1,03068c3b08a9f524fe96cd43087a3e0471bba39e5b3b02dbdd7d93cc4186f6d2,101,4,0,0,0.0,0.0203807541932954,0.337226655075549,0.088082,0.095525,0.021485,0.326708,0.105502,0.066807,0.034809,0.248732,0.054515,0.030358,0.020381,0.119044,0.124542,0.089651,0.029063,0.337227
S001_Trial01_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial01_Step02.csv,S001,1,2,d4d669fbf7d431a75d0a45826e51276ba6d04a53fd2ab0aa087ddd8f982da6b9,101,4,0,0,0.0,0.0192719086031972,0.381608805208047,0.088412,0.09768,0.021953,0.315039,0.076237,0.056918,0.019272,0.223229,0.044823,0.021613,0.023532,0.117521,0.138787,0.104739,0.023806,0.381609
S001_Trial02_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial02_Step01.csv,S001,2,1,c9d2a30d1a4dbbbee8d4f821137aa148e7403862d5fdf359ee1384ff58e567fc,101,4,0,0,0.0,0.01587984795246,0.332418199923302,0.095571,0.099777,0.018649,0.332418,0.073398,0.043983,0.024687,0.168282,0.053369,0.033832,0.01588,0.130616,0.134536,0.078592,0.027602,0.276461
S001_Trial02_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial02_Step02.csv,S001,2,2,6bf80c3ad7d01bbf1441a1577c6b8e356899b91ab4bbe93387b56c839fd8af60,101,4,0,0,0.0,0.0159702133149259,0.379607510436514,0.087039,0.0896,0.019681,0.292496,0.067717,0.039053,0.026281,0.186151,0.052061,0.035614,0.01597,0.132687,0.139204,0.106498,0.026477,0.379608
S001_Trial03_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial03_Step01.csv,S001,3,1,8833949da69f1b5fe0102bb395d645f6e35fed2340093b3985d2003a3e88c7fc,101,4,0,0,0.0,0.018594394666961,0.441372095698538,0.083904,0.081798,0.018594,0.26007,0.098443,0.071163,0.029378,0.26442,0.061696,0.033739,0.019363,0.125707,0.142858,0.121478,0.024697,0.441372
S001_Trial03_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial03_Step02.csv,S001,3,2,db4f81381bcdf79d4d82c278c8ccbd0865a192ed0de5fee4ab6c5006c91a6867,101,4,0,0,0.0,0.0216445572356761,0.386702719715972,0.099023,0.094897,0.02225,0.307961,0.091965,0.058191,0.024643,0.200678,0.062802,0.038281,0.021645,0.139229,0.146924,0.108043,0.029579,0.386703
S001_Trial04_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial04_Step01.csv,S001,4,1,da252cebdcacf1abb9ece090ed55e66a451d70f587c582e2e8c1b54820490c14,101,4,0,0,0.0,0.0161576141125142,0.400631822299389,0.089506,0.090166,0.021259,0.400632,0.074679,0.042528,0.021283,0.165925,0.051515,0.028698,0.016158,0.14064,0.137481,0.089846,0.023964,0.331878
S001_Trial04_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial04_Step02.csv,S001,4,2,b21750d4d248e6f218a326334b4d3e9d88be7853d8547dfb98a503983db8bbd8,101,4,0,0,0.0,0.0172254735936081,0.465100622666273,0.105073,0.136774,0.019204,0.465101,0.065879,0.03976,0.026837,0.194749,0.057308,0.038339,0.017225,0.14585,0.122886,0.088098,0.028492,0.322779
S001_Trial05_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial05_Step01.csv,S001,5,1,d4738019fe7ddc6e07e1aad1901246fe8f4fedcb8d0a616a8d286018dd2682b9,101,4,0,0,0.0,0.0179224900163798,0.343640373390734,0.093126,0.091327,0.023724,0.293175,0.097673,0.067089,0.025023,0.225759,0.057246,0.034085,0.017922,0.147954,0.133015,0.088671,0.026031,0.34364
S001_Trial05_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S001_Trial05_Step02.csv,S001,5,2,5f8e6c747594f49a2c9027600319bbebb6848168666269e8d28235ad48ac725f,101,4,0,0,0.0,0.0182104709613393,0.32234331985463,0.099013,0.100476,0.023589,0.322343,0.107878,0.075656,0.028733,0.256365,0.052729,0.037158,0.01821,0.149882,0.121188,0.078173,0.027858,0.304302
