iteration,subject,reason
1,S001,Pearson r < 0.7 vs. grand mean
1,S003,Pearson r < 0.7 vs. grand mean
1,S005,Pearson r < 0.7 vs. grand mean
1,S008,Pearson r < 0.7 vs. grand mean
1,S013,Pearson r < 0.7 vs. grand mean
1,S020,Pearson r < 0.7 vs. grand mean
1,S024,Pearson r < 0.7 vs. grand mean
1,S027,Pearson r < 0.7 vs. grand mean
1,S031,Pearson r < 0.7 vs. grand mean
1,S037,Pearson r < 0.7 vs. grand mean
1,S041,Pearson r < 0.7 vs. grand mean
1,S047,Pearson r < 0.7 vs. grand mean
1,S052,Pearson r < 0.7 vs. grand mean
1,S057,Pearson r < 0.7 vs. grand mean
1,S059,Pearson r < 0.7 vs. grand mean
1,S066,Pearson r < 0.7 vs. grand mean
1,S069,Pearson r < 0.7 vs. grand mean
1,S076,Pearson r < 0.7 vs. grand mean
1,S080,Pearson r < 0.7 vs. grand mean
1,S084,Pearson r < 0.7 vs. grand mean
1,S086,Pearson r < 0.7 vs. grand mean
1,S100,Pearson r < 0.7 vs. grand mean
1,S120,Pearson r < 0.7 vs. grand mean
