gait_cycle_pct,VL_cv_pct,VL_mean,VL_sd,TA_cv_pct,TA_mean,TA_sd,ST_cv_pct,ST_mean,ST_sd,GM_cv_pct,GM_mean,GM_sd
0,15.321702,0.7456957,0.11425327,12.017302,0.79152703,0.09512019,7.7388563,0.8576284,0.06637063,76.151245,0.09272124,0.07060838
1,13.164966,0.7825478,0.10302215,11.552884,0.80691534,0.09322199,7.7924848,0.8525412,0.066434145,75.80632,0.096418604,0.073091395
2,11.216639,0.81647116,0.091580614,11.424788,0.8181647,0.09347359,8.320566,0.8422984,0.070084,76.376915,0.10029657,0.07660343
3,9.493387,0.84627384,0.08034005,11.447095,0.82391053,0.09431382,9.572443,0.82764184,0.07922554,76.74331,0.105430365,0.08091075
4,8.041748,0.8723261,0.07015027,11.857257,0.82198006,0.097464286,11.132821,0.81055945,0.09023814,75.37686,0.109970994,0.082892686
5,6.9290137,0.89125794,0.06175539,12.835014,0.8120601,0.10422803,13.154943,0.7899536,0.10391795,74.75798,0.11487382,0.08587735
6,6.7595363,0.90225935,0.06098855,14.036657,0.7930695,0.11132044,15.490425,0.76552534,0.11858312,74.66329,0.11968591,0.089361444
7,7.344683,0.90614796,0.0665537,15.553908,0.7665694,0.1192315,17.329607,0.73626274,0.12759145,74.909584,0.124872856,0.09354174
8,8.336872,0.90358925,0.07533108,17.108355,0.7323722,0.12529683,19.401789,0.70710975,0.13719194,74.46748,0.13061711,0.09726727
9,9.822606,0.8932293,0.087738395,18.639738,0.69199395,0.12898587,21.368992,0.67610776,0.14447741,73.60297,0.13783976,0.10145415
10,11.622618,0.8738393,0.10156301,20.52747,0.6473368,0.13288186,23.098326,0.644661,0.1489059,72.69581,0.14667004,0.10662297
11,13.197303,0.849048,0.11205144,22.37124,0.60046196,0.1343308,25.193035,0.61164176,0.15409113,71.12853,0.15645158,0.11128171
12,15.092876,0.81865054,0.12355791,24.187563,0.5543808,0.1340912,27.119219,0.5775868,0.15663704,69.31563,0.16707863,0.115811594
13,17.166824,0.78330517,0.13446863,26.455168,0.5074737,0.13425301,28.941032,0.5455535,0.15788881,67.13807,0.17796054,0.119479276
14,19.210512,0.74315697,0.14276427,29.302433,0.46166784,0.13527991,30.642727,0.51567245,0.1580161,64.79375,0.19132428,0.123966165
15,21.33629,0.69872046,0.14908102,32.40268,0.41651633,0.13496245,32.557846,0.48850828,0.15904777,62.442333,0.20688362,0.12918296
16,23.70087,0.6497948,0.15400703,35.2018,0.3741915,0.13172214,34.30204,0.4630138,0.15882318,60.56819,0.22481908,0.13616885
17,25.911358,0.60028183,0.15554118,36.96529,0.33705172,0.12459215,36.083076,0.43979856,0.15869287,58.220894,0.24427745,0.14222051
18,28.28732,0.55044365,0.15570575,38.241753,0.3058884,0.11697709,38.07268,0.41737437,0.15890561,55.845215,0.26586035,0.14847028
19,30.349764,0.49965093,0.15164287,39.681656,0.28176835,0.11181035,40.62207,0.39495975,0.16044083,53.68793,0.2877197,0.15447076
20,32.29574,0.45180044,0.14591227,41.635998,0.26334986,0.10964835,43.02935,0.37561056,0.16162278,51.4154,0.3119247,0.16037734
21,34.698265,0.40605298,0.14089334,43.819645,0.2503235,0.10969087,45.196907,0.35954726,0.16250424,49.118034,0.33810446,0.16607027
22,37.458412,0.36231402,0.13571708,45.418873,0.24177933,0.109813444,47.645714,0.3444183,0.16410056,46.734703,0.3648375,0.17050572
23,40.29678,0.32467774,0.13083467,46.371304,0.234389,0.10868924,49.53231,0.33366156,0.16527027,44.228943,0.39229766,0.1735091
