gait_cycle_pct,VL_mean,VL_sd,TA_mean,TA_sd,ST_mean,ST_sd,GM_mean,GM_sd
0,0.7456957,0.11425327,0.79152703,0.09512019,0.8576284,0.06637063,0.09272124,0.07060838
1,0.7825478,0.10302215,0.80691534,0.09322199,0.8525412,0.066434145,0.096418604,0.073091395
2,0.81647116,0.091580614,0.8181647,0.09347359,0.8422984,0.070084,0.10029657,0.07660343
3,0.84627384,0.08034005,0.82391053,0.09431382,0.82764184,0.07922554,0.105430365,0.08091075
4,0.8723261,0.07015027,0.82198006,0.097464286,0.81055945,0.09023814,0.109970994,0.082892686
5,0.89125794,0.06175539,0.8120601,0.10422803,0.7899536,0.10391795,0.11487382,0.08587735
6,0.90225935,0.06098855,0.7930695,0.11132044,0.76552534,0.11858312,0.11968591,0.089361444
7,0.90614796,0.0665537,0.7665694,0.1192315,0.73626274,0.12759145,0.124872856,0.09354174
8,0.90358925,0.07533108,0.7323722,0.12529683,0.70710975,0.13719194,0.13061711,0.09726727
9,0.8932293,0.087738395,0.69199395,0.12898587,0.67610776,0.14447741,0.13783976,0.10145415
10,0.8738393,0.10156301,0.6473368,0.13288186,0.644661,0.1489059,0.14667004,0.10662297
11,0.849048,0.11205144,0.60046196,0.1343308,0.61164176,0.15409113,0.15645158,0.11128171
12,0.81865054,0.12355791,0.5543808,0.1340912,0.5775868,0.15663704,0.16707863,0.115811594
13,0.78330517,0.13446863,0.5074737,0.13425301,0.5455535,0.15788881,0.17796054,0.119479276
14,0.74315697,0.14276427,0.46166784,0.13527991,0.51567245,0.1580161,0.19132428,0.123966165
15,0.69872046,0.14908102,0.41651633,0.13496245,0.48850828,0.15904777,0.20688362,0.12918296
16,0.6497948,0.15400703,0.3741915,0.13172214,0.4630138,0.15882318,0.22481908,0.13616885
17,0.60028183,0.15554118,0.33705172,0.12459215,0.43979856,0.15869287,0.24427745,0.14222051
18,0.55044365,0.15570575,0.3058884,0.11697709,0.41737437,0.15890561,0.26586035,0.14847028
19,0.49965093,0.15164287,0.28176835,0.11181035,0.39495975,0.16044083,0.2877197,0.15447076
